model,parent_bite_id,take,phase,circular_mae,circular_rmse,delta_rmse,n_frames_x,psi_range,delta_psi_range,rms_change_from_psi0,max_abs_change_from_psi0,total_abs_psi_travel,n_frames_y
R0_hold_psi0,trial_0013_bite_003,trial_0013,transfer,0.08845037143102329,0.09867808869624976,0.09867808869624976,164,0.1536661899881615,0.1536661899881615,0.09867808869624976,0.1536661899881615,0.2573917260097329,164
R0_hold_psi0,trial_0013_bite_003,trial_0013,withdrawal,0.19458960258166125,0.23667400634354,0.23667400634354,94,0.37083459103126426,0.37083459103126426,0.23667400634354,0.36695621269599554,0.5137874122510491,94
R0_hold_psi0,trial_0013_bite_004,trial_0013,transfer,0.0024817352390219096,0.0028791925997594635,0.0028791925997594635,20,0.008320985280614757,0.008320985280614757,0.0028791925997594635,0.00602700913435017,0.02750720591484912,20
R0_hold_psi0,trial_0013_bite_004,trial_0013,withdrawal,0.034373272542539246,0.050305957501941535,0.050305957501941535,71,0.3381641190996616,0.16115656553889002,0.050305957501941535,0.14930581916352148,0.25801139134458806,71
R0_hold_psi0,trial_0013_bite_005,trial_0013,transfer,0.019313044559685712,0.025765929337449308,0.025765929337449308,88,0.1156439466340764,0.06051320923085912,0.025765929337449308,0.051522314117944834,0.1300584682194703,88
R0_hold_psi0,trial_0013_bite_005,trial_0013,withdrawal,0.052410095934575684,0.0685935188894255,0.0685935188894255,81,0.12182303243737413,0.16603993113403304,0.0685935188894255,0.12182303243737413,0.2059359691677547,81
R0_hold_psi0,trial_0013_bite_006,trial_0013,transfer,0.1403488960961297,0.1518460888437244,0.1518460888437244,158,0.1973287000818642,0.1973287000818642,0.1518460888437244,0.1973287000818642,0.3141602384752473,158
R0_hold_psi0,trial_0013_bite_006,trial_0013,withdrawal,0.18168875911511526,0.22162858950888312,0.22162858950888312,142,0.34374163158822224,0.34374163158822224,0.22162858950888312,0.34232082310627865,0.4469373212290222,142
R0_hold_psi0,trial_0013_bite_007,trial_0013,transfer,0.013510289433499568,0.014480872385804642,0.014480872385804642,39,0.021856110279619756,0.021856110279619756,0.014480872385804642,0.021856110279619756,0.05614086712960198,39
R0_hold_psi0,trial_0013_bite_007,trial_0013,withdrawal,0.16661974366395563,0.2010382956176825,0.2010382956176825,136,0.30368556587820095,0.30368556587820095,0.2010382956176825,0.2893043546914904,0.3767573404106894,136
R0_hold_psi0,trial_0013_bite_008,trial_0013,transfer,0.03608674236421093,0.041827208374479834,0.041827208374479834,198,0.07617778359443461,0.07617778359443461,0.041827208374479834,0.07246272430496248,0.31993559498347324,198
R0_hold_psi0,trial_0013_bite_008,trial_0013,withdrawal,0.15919684831493175,0.2109039814599831,0.2109039814599831,85,0.35087684926281604,0.35087684926281604,0.2109039814599831,0.34969322676610703,0.3673068911049251,85
R0_hold_psi0,trial_0013_bite_009,trial_0013,transfer,0.018272208122672447,0.02240233921613101,0.02240233921613101,158,0.07320040167435682,0.07320040167435682,0.02240233921613101,0.04142811149993886,0.2519155008433063,158
R0_hold_psi0,trial_0013_bite_009,trial_0013,withdrawal,0.18455767627163142,0.23419189783678468,0.23419189783678468,108,0.37846164772724444,0.37846164772724444,0.23419189783678468,0.3637450373408835,0.4551128739902741,108
R0_hold_psi0,trial_0013_bite_010,trial_0013,transfer,0.020599335172316834,0.02580621416259299,0.02580621416259299,135,0.05760273776666791,0.05760273776666791,0.02580621416259299,0.05092565136085758,0.21627886101168015,135
R0_hold_psi0,trial_0013_bite_010,trial_0013,withdrawal,0.15595036835262396,0.18704344844517465,0.18704344844517465,140,0.26536115149731865,0.26536115149731865,0.18704344844517465,0.25510106602005544,0.37665148488106803,140
R0_hold_psi0,trial_0013_bite_011,trial_0013,transfer,0.014316421196313663,0.02004850147984391,0.02004850147984391,131,0.05577120037102157,0.05577120037102157,0.02004850147984391,0.04852199908605126,0.1845359310302026,131
R0_hold_psi0,trial_0013_bite_011,trial_0013,withdrawal,0.2150898206537466,0.2661968195408041,0.26619681954080404,118,0.39947256081702154,0.39947256081702154,0.26619681954080404,0.3933962172802419,0.47981721260190024,118
R0_hold_psi0,trial_0013_bite_012,trial_0013,transfer,0.11613626273435138,0.12449538302564031,0.12449538302564031,140,0.16472836873426866,0.16472836873426866,0.12449538302564031,0.16472836873426866,0.264569757807418,140
R0_hold_psi0,trial_0013_bite_012,trial_0013,withdrawal,0.1428284813187733,0.1706792761415745,0.1706792761415745,94,0.35342841137037917,0.32828378594831253,0.1706792761415745,0.2661575814321089,0.3803441643367882,94
R0_hold_psi0,trial_0014_bite_001,trial_0014,transfer,0.11403389977926832,0.12885057926400525,0.12885057926400525,156,0.1725031064839504,0.1725031064839504,0.12885057926400525,0.1725031064839504,0.31510630384085925,156
R0_hold_psi0,trial_0014_bite_001,trial_0014,withdrawal,0.13184471907920697,0.18215188232183785,0.18215188232183785,98,0.32978279305005387,0.32978279305005387,0.18215188232183785,0.3167411292535447,0.35719944605428955,98
R0_hold_psi0,trial_0014_bite_002,trial_0014,transfer,0.05684688373655957,0.06282923584528273,0.06282923584528273,174,0.10061674818939226,0.10061674818939226,0.06282923584528273,0.09926617528293225,0.215582105258187,174
R0_hold_psi0,trial_0014_bite_002,trial_0014,withdrawal,0.12202836986237282,0.16404235056368546,0.16404235056368546,109,0.4599373878641768,0.4599373878641768,0.16404235056368546,0.34324249126623085,0.5822091865354513,109
R0_hold_psi0,trial_0014_bite_003,trial_0014,transfer,0.15456976681540044,0.1753538581612889,0.1753538581612889,132,0.23974330376870867,0.23974330376870867,0.1753538581612889,0.23974330376870867,0.29027780298720574,132
R0_hold_psi0,trial_0014_bite_003,trial_0014,withdrawal,0.19826411039257819,0.24348697860578003,0.24348697860578003,102,0.4465934657839772,0.4465934657839772,0.24348697860578003,0.40433986354674945,0.4888470680212049,102
R0_hold_psi0,trial_0014_bite_004,trial_0014,transfer,0.1520803041158323,0.16903029916612866,0.16903029916612866,112,0.2340678494237456,0.2340678494237456,0.16903029916612866,0.2340678494237456,0.29738540177763273,112
