condition,offset_rad,strategy,support_bites,source_runs,initial_success_runs,initial_state_success_percent,source_frames,success_frames,trajectory_frame_success_percent,complete_success_runs,complete_run_success_percent,JOINT_LIMIT,NO_VALID_BRANCH,other_failure_frames,violations,continuous_frame_percent,branch_changes,travel,rms_velocity,rms_acceleration,rms_jerk,min_margin,min_jp_sigma,min_jr_sigma,take
psi0_plus_025,0.25,HumanGT,19,38,37,97.36842105263158,5559,5205,93.63194819212089,34,89.47368421052632,0,177,0,2,99.96157540826128,3,3.829385367376564,0.6494044908765048,24.374021817111014,3670.221163096991,0.4433476560147144,0.19897761736262953,1.371589411818041,trial_0015
psi0_plus_025,0.25,B0,19,38,37,97.36842105263158,5559,5207,93.66792588595071,34,89.47368421052632,0,175,0,0,100.0,0,4.156333538699927,0.6992575258790296,26.516787043835475,3584.129552825835,0.34234079199903233,0.20262140337413703,1.362049971393255,trial_0015
psi0_plus_025,0.25,B2,19,38,37,97.36842105263158,5559,5206,93.64993703903579,34,89.47368421052632,0,176,0,2,99.96158278908952,3,3.8816997100564072,0.6503691696876688,24.52997670906452,3535.03926770465,0.3727117013602435,0.19968044784990174,1.367511474301166,trial_0015
psi0_plus_025,0.25,B3,19,38,37,97.36842105263158,5559,5206,93.64993703903579,34,89.47368421052632,0,176,0,2,99.96158278908952,3,3.9418113281127543,0.6572365200398508,28.88261396208324,4385.080510911488,0.37049285903274537,0.1999032771221818,1.3681141301885618,trial_0015
psi0_plus_025,0.25,StrongLocal,19,38,37,97.36842105263158,5559,5206,93.64993703903579,34,89.47368421052632,0,176,0,2,99.96158278908952,3,3.9098507395763136,0.653926151849475,27.213454778596255,4053.1911013213676,0.3828202789324586,0.2001682220104598,1.3686933290419472,trial_0015
psi0_plus_025,0.25,H_star,19,38,37,97.36842105263158,5559,5205,93.63194819212089,34,89.47368421052632,0,177,0,1,99.98078770413065,2,4.1845035264954,0.698035425344159,42.02776844768007,6878.292377111021,0.383718155718016,0.1998868160154199,1.368325526628539,trial_0015
psi0_plus_025,0.25,RobotSmooth,19,38,37,97.36842105263158,5559,5215,93.81183666127001,34,89.47368421052632,0,1,0,0,100.0,0,4.130715784661936,0.6748499381345393,34.2258490425063,4839.498747060801,0.3387465155694274,0.20272988386213434,1.361317942896946,trial_0015
psi0_minus_025,-0.25,HumanGT,15,55,55,100.0,3846,3744,97.34789391575663,52,94.54545454545455,0,102,0,1,99.9732905982906,1,4.487896734710754,0.8604622442019695,32.50791297481115,4206.19850463669,0.4609910529719922,0.22273790335018914,1.2572066539412379,trial_0017
psi0_minus_025,-0.25,B0,15,55,55,100.0,3846,3759,97.73790951638065,52,94.54545454545455,0,87,0,0,100.0,1,4.65639401000101,0.8619929440624536,27.493600207844242,3447.6812820623113,0.41333308214715603,0.22259262911295938,1.251682583517072,trial_0017
psi0_minus_025,-0.25,B2,15,55,55,100.0,3846,3744,97.34789391575663,52,94.54545454545455,0,102,0,2,99.94658119658119,2,4.389917850203818,0.8595178923871544,30.776553695517766,3625.7312981883974,0.4511559483245604,0.22192041314158553,1.263582315672339,trial_0017
