comparison,condition,phase,metric,difference_a_minus_b,ci_low,ci_high,support_bites,status
StrongLocal-RobotSmooth,psi0_nominal,transfer,travel,0.07056809916268905,-0.008978733737351396,0.1621713192157077,127,OK
StrongLocal-RobotSmooth,psi0_nominal,transfer,rms_velocity,0.1087615993994826,0.05063228454081442,0.17011004219264164,125,OK
StrongLocal-RobotSmooth,psi0_nominal,transfer,min_margin,-0.023607119474310864,-0.027807324287591858,-0.019442576924497725,125,OK
StrongLocal-RobotSmooth,psi0_nominal,transfer,violations,0.11811023622047244,0.05511811023622047,0.1968503937007874,127,OK
StrongLocal-RobotSmooth,psi0_nominal,withdrawal,psi_mae,-0.059326502337688165,-0.07263032780002636,-0.04550329629239414,122,OK
StrongLocal-RobotSmooth,psi0_nominal,withdrawal,elbow_mean,-0.017742092026711006,-0.021800935164728082,-0.013498827954166884,122,OK
StrongLocal-RobotSmooth,psi0_nominal,withdrawal,travel,0.0342597837507034,-0.022569838243243205,0.09588686901926921,127,OK
StrongLocal-RobotSmooth,psi0_nominal,withdrawal,rms_velocity,-0.0033434926534001088,-0.01505617516735178,0.009152186872304319,122,OK
StrongLocal-RobotSmooth,psi0_nominal,withdrawal,min_margin,0.058089604836818035,0.04217014257000684,0.0740599282314832,122,OK
StrongLocal-RobotSmooth,psi0_nominal,withdrawal,violations,0.023622047244094488,0.0,0.06299212598425197,127,OK
StrongLocal-RobotSmooth,psi0_plus_025,overall,psi_mae,-0.04704857608455314,-0.05579572066467233,-0.03863672800499588,127,OK
StrongLocal-RobotSmooth,psi0_plus_025,overall,elbow_mean,-0.012280909290098882,-0.014644230563399854,-0.010189551738195014,127,OK
StrongLocal-RobotSmooth,psi0_plus_025,overall,travel,0.022927145926986994,-0.03461237935476566,0.08376847270063742,127,OK
StrongLocal-RobotSmooth,psi0_plus_025,overall,rms_velocity,0.08279871583113543,0.036134104445787296,0.1345677101202322,127,OK
StrongLocal-RobotSmooth,psi0_plus_025,overall,min_margin,0.011061965455653843,0.002936512565217523,0.01845330426264231,127,OK
StrongLocal-RobotSmooth,psi0_plus_025,overall,violations,0.06692913385826772,0.027559055118110236,0.11023622047244094,127,OK
StrongLocal-RobotSmooth,psi0_plus_025,transfer,psi_mae,-0.042531431294019637,-0.05322081287548213,-0.030858157262520065,125,OK
StrongLocal-RobotSmooth,psi0_plus_025,transfer,elbow_mean,-0.009184548505197654,-0.011518958753268495,-0.006674424172421653,125,OK
StrongLocal-RobotSmooth,psi0_plus_025,transfer,travel,0.11828334401425533,0.033511612824204305,0.20995650699326757,127,OK
StrongLocal-RobotSmooth,psi0_plus_025,transfer,rms_velocity,0.15299894914419715,0.08636143919341488,0.22228133272385864,125,OK
StrongLocal-RobotSmooth,psi0_plus_025,transfer,min_margin,-0.022970516544633106,-0.027428115224711214,-0.019044849758417585,125,OK
StrongLocal-RobotSmooth,psi0_plus_025,transfer,violations,0.047244094488188976,-0.007874015748031496,0.11023622047244094,127,OK
StrongLocal-RobotSmooth,psi0_plus_025,withdrawal,psi_mae,-0.05455500203751182,-0.06600619312814822,-0.04189105286278979,122,OK
StrongLocal-RobotSmooth,psi0_plus_025,withdrawal,elbow_mean,-0.016042325683675203,-0.01958163519491084,-0.01224319465576837,122,OK
StrongLocal-RobotSmooth,psi0_plus_025,withdrawal,travel,-0.07242905216028134,-0.13711981669538156,-0.005909129398601043,127,OK
StrongLocal-RobotSmooth,psi0_plus_025,withdrawal,rms_velocity,-0.028002939940905074,-0.04288852371362776,-0.013451573264075652,122,OK
