record_id,parent_bite_id,take,phase,generated_duration_s,gt_duration_s,duration_error_s,absolute_duration_error_s
trial_0017_bite_005_transfer,trial_0017_bite_005,trial_0017,transfer,1.39,1.89,-0.5,0.5
trial_0017_bite_005_withdrawal,trial_0017_bite_005,trial_0017,withdrawal,1.07,1.43,-0.3599999999999999,0.3599999999999999
trial_0017_bite_006_transfer,trial_0017_bite_006,trial_0017,transfer,1.39,1.84,-0.4500000000000002,0.4500000000000002
trial_0017_bite_006_withdrawal,trial_0017_bite_006,trial_0017,withdrawal,1.07,1.18,-0.10999999999999988,0.10999999999999988
trial_0017_bite_007_transfer,trial_0017_bite_007,trial_0017,transfer,1.39,2.08,-0.6900000000000002,0.6900000000000002
trial_0017_bite_007_withdrawal,trial_0017_bite_007,trial_0017,withdrawal,1.07,0.96,0.1100000000000001,0.1100000000000001
trial_0017_bite_008_transfer,trial_0017_bite_008,trial_0017,transfer,1.39,1.93,-0.54,0.54
trial_0017_bite_008_withdrawal,trial_0017_bite_008,trial_0017,withdrawal,1.07,1.05,0.020000000000000018,0.020000000000000018
trial_0017_bite_009_transfer,trial_0017_bite_009,trial_0017,transfer,1.39,2.32,-0.9299999999999999,0.9299999999999999
trial_0017_bite_009_withdrawal,trial_0017_bite_009,trial_0017,withdrawal,1.07,1.07,0.0,0.0
trial_0017_bite_010_transfer,trial_0017_bite_010,trial_0017,transfer,1.39,1.82,-0.43000000000000016,0.43000000000000016
trial_0017_bite_010_withdrawal,trial_0017_bite_010,trial_0017,withdrawal,1.07,1.05,0.020000000000000018,0.020000000000000018
trial_0017_bite_011_transfer,trial_0017_bite_011,trial_0017,transfer,1.39,1.86,-0.4700000000000002,0.4700000000000002
trial_0017_bite_011_withdrawal,trial_0017_bite_011,trial_0017,withdrawal,1.07,1.07,0.0,0.0
trial_0017_bite_012_transfer,trial_0017_bite_012,trial_0017,transfer,1.39,1.75,-0.3600000000000001,0.3600000000000001
trial_0017_bite_012_withdrawal,trial_0017_bite_012,trial_0017,withdrawal,1.07,1.01,0.06000000000000005,0.06000000000000005
trial_0017_bite_013_transfer,trial_0017_bite_013,trial_0017,transfer,1.39,2.92,-1.53,1.53
trial_0017_bite_013_withdrawal,trial_0017_bite_013,trial_0017,withdrawal,1.07,0.99,0.08000000000000007,0.08000000000000007
trial_0017_bite_014_transfer,trial_0017_bite_014,trial_0017,transfer,1.39,2.31,-0.9200000000000002,0.9200000000000002
