record_id,parent_bite_id,take,phase,g0_initial_source_index,g0_initial_motive_frame,initial_position_error_m,initial_orientation_error_rad,psi_valid_at_g0_initial_pose,psi0,eligibility_status
trial_0015_bite_015_transfer,trial_0015_bite_015,trial_0015,transfer,0,15715,0.0,0.0,True,-2.800920644027646,G1_ELIGIBLE
trial_0015_bite_015_withdrawal,trial_0015_bite_015,trial_0015,withdrawal,0,15865,0.0,0.0,True,-2.5886156291398144,G1_ELIGIBLE
trial_0015_bite_016_transfer,trial_0015_bite_016,trial_0015,transfer,0,17090,0.0,0.0,True,-2.7715154424868516,G1_ELIGIBLE
trial_0015_bite_016_withdrawal,trial_0015_bite_016,trial_0015,withdrawal,0,17285,0.0,0.0,True,-2.7015840381493548,G1_ELIGIBLE
trial_0015_bite_017_transfer,trial_0015_bite_017,trial_0015,transfer,0,18318,0.0,0.0,True,-2.695725717669326,G1_ELIGIBLE
trial_0015_bite_017_withdrawal,trial_0015_bite_017,trial_0015,withdrawal,0,18510,0.0,0.0,True,-2.7148519319925573,G1_ELIGIBLE
trial_0015_bite_018_transfer,trial_0015_bite_018,trial_0015,transfer,0,19527,0.0,0.0,True,-2.8991446407569756,G1_ELIGIBLE
trial_0015_bite_018_withdrawal,trial_0015_bite_018,trial_0015,withdrawal,0,19719,0.0,0.0,True,-2.7450120645988925,G1_ELIGIBLE
trial_0015_bite_019_transfer,trial_0015_bite_019,trial_0015,transfer,0,20623,0.0,0.0,True,-2.9323915220915553,G1_ELIGIBLE
trial_0015_bite_019_withdrawal,trial_0015_bite_019,trial_0015,withdrawal,0,20855,0.0,0.0,True,-2.607126173811183,G1_ELIGIBLE
trial_0017_bite_001_transfer,trial_0017_bite_001,trial_0017,transfer,0,852,0.0,0.0,True,-2.8472487194214,G1_ELIGIBLE
trial_0017_bite_001_withdrawal,trial_0017_bite_001,trial_0017,withdrawal,0,1197,0.0,0.0,True,-2.569195572093803,G1_ELIGIBLE
trial_0017_bite_002_transfer,trial_0017_bite_002,trial_0017,transfer,0,2587,0.0,0.0,True,-3.0518796115720064,G1_ELIGIBLE
trial_0017_bite_002_withdrawal,trial_0017_bite_002,trial_0017,withdrawal,0,2861,0.0,0.0,True,-2.6014308459130007,G1_ELIGIBLE
